order_id,order_date,region,city,sales_rep,product,customer_type,billing_cycle,base_price_inr,discount_pct,monthly_revenue_inr,contract_value_inr
60000,2024-03-28,South,Delhi,Suresh,VPS Windows Basic,Blogger,Annual,1640,0.23,1257.88,15094.59
60001,2024-07-10,North,Chennai,Amit,VPS Linux Premium,Blogger,Monthly,1699,0.21,1337.59,1337.59
60002,2024-06-18,North,Delhi,Suresh,Dedicated Server Windows High,Startup,Quarterly,9999,0.15,8470.02,25410.06
60003,2024-11-15,North,Bangalore,Priya,Shared Hosting Entry,Startup,Annual,104,0.15,88.76,1065.1
60004,2024-08-29,South,Delhi,Anita,VPS Windows Mid,Enterprise,Annual,2099,0.22,1637.06,19644.7
60005,2024-02-04,North,Chennai,Priya,VPS Windows Basic,Startup,Monthly,1640,0.11,1463.33,1463.33
60006,2024-07-09,North,Bangalore,Rahul,Dedicated Server Windows High,Startup,Monthly,9999,0.17,8342.86,8342.86
60007,2024-07-08,West,Chennai,Amit,Dedicated Server Windows Mid,Blogger,Monthly,7999,0.1,7208.8,7208.8
60008,2024-02-10,West,Mumbai,Priya,VPS Linux Premium,Startup,Monthly,1699,0.12,1498.79,1498.79
60009,2024-06-11,South,Mumbai,Suresh,VPS Linux Mid,Blogger,Monthly,899,0.05,850.54,850.54
60010,2024-02-02,East,Kolkata,Anita,Dedicated Server Linux High,Startup,Quarterly,6799,0.23,5224.52,15673.56
60011,2024-08-14,East,Bangalore,Suresh,Shared Hosting Entry,Startup,Monthly,104,0.17,86.84,86.84
60012,2024-01-15,South,Chennai,Suresh,Shared Hosting Mid,Startup,Quarterly,202,0.25,151.06,453.19
60013,2024-08-09,West,Bangalore,Neha,Shared Hosting Mid,Startup,Monthly,202,0.14,173.65,173.65
60014,2024-10-10,North,Kolkata,Suresh,Shared Hosting Mid,Startup,Quarterly,202,0.21,159.99,479.97
60015,2024-05-07,West,Hyderabad,Priya,Dedicated Server Windows High,Startup,Quarterly,9999,0.16,8415.65,25246.95
